法术棱镜         'item_spell_prism',

望远镜             'item_spy_gadget',

永恒遗物          'item_timeless_relic',

海盗帽              'item_pirate_hat',

极                     'item_apex',

巨人之戒            'item_giants_ring',

死灵书               'item_demonicon',

神镜盾               'item_mirror_shield',

先哲之石             'item_seer_stone',

恶牛角                 'item_minotaur_horn',

弩炮                     'item_ballista',

原力鞋                   'item_force_boots',

秘术师铠甲             'item_force_field',

第三只眼               'item_third_eye',

不朽尸王的头盔      'item_helm_of_the_undying',


